ISSN	REVISTA	QUALIS	AREA	OBS
1044-0305	Journal of the American Society for Mass Spectrometry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-4928	Journal of the Atmospheric Sciences	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0013-4651	Journal of the Electrochemical Society	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0022-5096	Journal of the Mechanics and Physics of Solids	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0740-3224	Journal of the Optical Society of America. B, Optical Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0031-9015	Journal of the Physical Society of Japan	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1742-5689	Journal of the Royal Society Interface (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0268-8921	Lasers in Medical Science	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0196-8092	Lasers in Surgery and Medicine (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0254-0584	Materials Chemistry and Physics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0025-5408	Materials Research Bulletin	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0094-2405	Medical Physics (Lancaster)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1086-9379	Meteoritics & Planetary Science	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1613-4982	Microfluidics and Nanofluidics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1387-1811	Microporous and Mesoporous Materials (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1431-9276	Microscopy and Microanalysis (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1742-206X	Molecular Biosystems (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1931-7573	Nanoscale Research Letters (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0957-4484	Nanotechnology (Bristol. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
